Sexe;Age;Statut;Occupation;Qualification;Etudie;NombreFS;Jardinage;Cuisine;Sport;MinutesTV;LectureBD;MinutesL;EcouteRP;JournalIntime;Taille
F;64;Marie;Retraite;Employe de bureau;Non;3;Non;Oui;Non;300,0;Non;0,0;Non;Non;Comme il faut
F;55;Veuf;Exerce profession;Autre;Non;2;Oui;Oui;Non;180,0;Non;8,57;Non;Non;Comme il faut
F;34;Marie;Autre inactif;Technicien;Non;3;Non;Non;Non;0,0;Non;0,0;Non;Non;Pas assez
H;36;Marie;Exerce profession;Ouvrier qualifie;Non;2;Oui;Oui;Non;128,57;Non;0,0;Non;Non;Comme il faut
H;40;Celibataire;Exerce profession;Ouvrier qualifie;Non;4;Non;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut
F;36;Celibataire;Autre inactif;Employe de bureau;Non;3;Non;Non;Non;180,0;Non;25,71;Non;Non;Comme il faut
F;62;Veuf;Retraite;Employe de bureau;Non;0;Oui;Oui;Non;240,0;Non;60,0;Non;Non;Comme il faut
F;44;Marie;Exerce profession;Profession intermediaire;Non;2;Non;Non;Non;300,0;Non;51,43;Non;Non;Comme il faut
H;53;Marie;Exerce profession;Non concerne;Non;7;Oui;Oui;Non;60,0;Non;34,29;Non;Non;Comme il faut
H;24;Celibataire;Exerce profession;Ouvrier qualifie;Non;4;Non;Non;Oui;60,0;Non;0,0;Non;Oui;Comme il faut
F;29;Marie;Exerce profession;Employe de bureau;Non;2;Non;Non;Non;85,71;Non;0,0;Non;Oui;Comme il faut
F;64;Veuf;Retraite;Employe de bureau;Non;3;Non;Oui;Non;240,0;Non;0,0;Non;Non;Comme il faut
F;41;Marie;Autre inactif;Ouvrier qualifie;Non;2;Oui;Oui;Non;0,0;Non;120,0;Non;Oui;Comme il faut
H;32;Celibataire;Exerce profession;Technicien;Non;2;Non;Non;Oui;60,0;Non;0,0;Non;Non;Comme il faut
F;73;Marie;Autre inactif;Non concerne;Non;0;Non;Non;Non;120,0;Non;0,0;Non;Non;Pas assez
H;57;Marie;Autre inactif;Ouvrier qualifie;Non;5;Non;Non;Non;240,0;Non;0,0;Non;Non;Pas assez
F;39;Celibataire;Exerce profession;Employe de bureau;Non;5;Non;Non;Non;240,0;Non;0,0;Non;Non;Comme il faut
F;62;Marie;Retraite;Employe de bureau;Non;8;Oui;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut
H;58;Divorce;Retraite;Profession intermediaire;Non;2;Non;Non;Non;480,0;Oui;120,0;Non;Non;Comme il faut
F;19;Celibataire;Etudiant;Non concerne;formation initiale;1;Non;Non;Non;0,0;Non;0,0;Non;Oui;Comme il faut
F;54;Celibataire;Exerce profession;Cadre;Non;1;Non;Oui;Oui;60,0;Non;68,57;Non;Non;Comme il faut
H;42;Marie;Exerce profession;Profession intermediaire;Non;3;Oui;Non;Oui;120,0;Non;0,0;Non;Non;Pas assez
F;28;Celibataire;Etudiant;Non concerne;formation initiale;1;Non;Non;Oui;60,0;Non;0,0;Oui;Non;Comme il faut
F;29;Celibataire;Exerce profession;Employe de bureau;Non;2;Non;Non;Non;360,0;Non;0,0;Non;Non;Trop
H;18;Celibataire;Etudiant;Non concerne;formation initiale;2;Non;Non;Oui;240,0;Non;0,0;Non;Non;Comme il faut
F;21;Celibataire;Chomeur;Non concerne;Non;0;Non;Non;Oui;180,0;Oui;120,0;Non;Oui;Pas assez
F;61;Marie;Retraite;Employe de bureau;Non;1;Oui;Oui;Oui;120,0;Non;0,0;Non;Non;Pas assez
H;68;Marie;Retraite;Cadre;Non;3;Non;Non;Non;60,0;Non;0,0;Non;Non;Pas assez
F;29;Marie;Exerce profession;Cadre;Non;1;Non;Non;Non;180,0;Non;60,0;Non;Non;Comme il faut
F;31;Celibataire;Autre inactif;Non concerne;Non;10;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut
F;64;Marie;Retraite;Ouvrier qualifie;Non;4;Oui;Non;Non;60,0;Non;0,0;Non;Non;Comme il faut
H;26;Celibataire;Autre inactif;Ouvrier specialise;Non;2;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
H;60;Marie;Retraite;Ouvrier specialise;Non;10;Oui;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut
F;37;Marie;Autre inactif;Ouvrier qualifie;Non;5;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;71;Veuf;Retraite;Ouvrier specialise;Non;15;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut
H;79;Marie;Retraite;Profession intermediaire;Non;5;Non;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut
H;69;Divorce;Retraite;Cadre;Non;3;Oui;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut
F;49;Marie;Exerce profession;Profession intermediaire;Non;0;Oui;Oui;Non;120,0;Non;60,0;Non;Non;Pas assez
H;38;Celibataire;Exerce profession;Cadre;Reprise de formation;3;Non;Non;Oui;60,0;Non;0,0;Non;Oui;Comme il faut
F;25;Marie;Exerce profession;Employe de bureau;Non;2;Non;Non;Oui;240,0;Non;0,0;Non;Oui;Comme il faut
H;53;Marie;Exerce profession;Cadre;Non;2;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Pas assez
F;65;Marie;Retraite;Employe de bureau;Non;7;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut
F;45;Marie;Exerce profession;Cadre;Non;2;Oui;Non;Oui;120,0;Non;0,0;Non;Oui;Pas assez
F;31;Celibataire;Autre inactif;Employe de bureau;Non;3;Non;Non;Non;0,0;Non;0,0;Non;Non;Refus
H;56;Marie;Exerce profession;Ouvrier qualifie;Non;1;Non;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut
F;56;Marie;Exerce profession;Employe de bureau;Non;4;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;62;Veuf;Exerce profession;Employe de bureau;Non;1;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;52;Marie;Exerce profession;Employe de bureau;Non;0;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
H;43;Celibataire;Exerce profession;Non concerne;Non;1;Non;Non;Non;300,0;Non;0,0;Non;Non;Pas assez
H;50;Marie;Exerce profession;Cadre;Non;1;Oui;Oui;Oui;0,0;Non;0,0;Non;Non;Comme il faut
H;26;Celibataire;Exerce profession;Employe de bureau;Non;1;Non;Oui;Oui;240,0;Non;0,0;Oui;Non;Comme il faut
F;19;Celibataire;Etudiant;Non concerne;formation initiale;2;Non;Oui;Non;60,0;Non;0,0;Non;Non;Comme il faut
F;48;Marie;Exerce profession;Profession intermediaire;Non;7;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;52;Marie;Exerce profession;Employe de bureau;Non;3;Oui;Oui;Oui;60,0;Non;0,0;Non;Non;Comme il faut
H;58;Marie;Exerce profession;Cadre;Non;2;Oui;Oui;Oui;60,0;Non;0,0;Non;Oui;Pas assez
F;83;Veuf;Au foyer;Non concerne;Non;4;Non;Non;Non;300,0;Non;120,0;Non;Non;Comme il faut
F;83;Veuf;Autre inactif;Cadre;Non;3;Non;Non;Oui;120,0;Non;0,0;Non;Non;Comme il faut
H;41;Celibataire;Exerce profession;Technicien;Non;5;Oui;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut
F;42;Marie;Autre inactif;Employe de bureau;Non;2;Non;Non;Oui;0,0;Non;0,0;Non;Non;Comme il faut
H;43;Marie;Exerce profession;Ouvrier qualifie;Non;5;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;48;Marie;Exerce profession;Employe de bureau;Non;8;Non;Non;Non;180,0;Non;0,0;Non;Non;Pas assez
H;50;Marie;Exerce profession;Ouvrier qualifie;Non;1;Oui;Non;Oui;60,0;Non;60,0;Non;Non;Comme il faut
H;42;Celibataire;Chomeur;Ouvrier specialise;Non;1;Non;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut
F;57;Marie;Exerce profession;Cadre;Non;1;Non;Non;Non;51,43;Non;60,0;Non;Oui;Comme il faut
H;23;Celibataire;Etudiant;Non concerne;formation initiale;2;Oui;Oui;Oui;180,0;Non;0,0;Non;Non;Comme il faut
H;46;Marie;Exerce profession;Non concerne;Non;1;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;28;Marie;Autre inactif;Employe de bureau;Non;1;Non;Non;Non;240,0;Non;0,0;Oui;Oui;Pas assez
H;34;Marie;Exerce profession;Cadre;Non;1;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
H;55;Marie;Retraite;Employe de bureau;Non;3;Non;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut
F;40;Marie;Autre inactif;Employe de bureau;Non;7;Non;Oui;Non;120,0;Non;0,0;Non;Non;Pas assez
H;22;Celibataire;Exerce profession;Ouvrier specialise;Non;6;Non;Non;Oui;300,0;Non;0,0;Non;Non;Comme il faut
F;58;Marie;Autre inactif;Non concerne;Non;7;Non;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut
H;48;Marie;Exerce profession;Cadre;Non;5;Oui;Non;Oui;85,71;Non;0,0;Non;Non;Comme il faut
H;50;Divorce;Exerce profession;Employe de bureau;Non;2;Oui;Non;Non;0,0;Non;120,0;Non;Oui;Comme il faut
F;81;Veuf;Au foyer;Non concerne;Non;6;Non;Non;Non;180,0;Non;60,0;Non;Non;Comme il faut
H;26;Celibataire;Exerce profession;Non concerne;Non;1;Non;Non;Non;34,29;Non;0,0;Non;Oui;Comme il faut
H;49;Marie;Exerce profession;Cadre;Non;3;Oui;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;42;Celibataire;Autre inactif;Employe de bureau;Non;2;Non;Non;Oui;0,0;Non;0,0;Non;Non;Pas assez
H;54;Marie;Exerce profession;Employe de bureau;Non;2;Oui;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut
F;65;Marie;Retraite;Ouvrier qualifie;Non;2;Non;Oui;Non;360,0;Non;0,0;Non;Non;Comme il faut
H;23;Celibataire;Exerce profession;Ouvrier specialise;Non;2;Non;Non;Non;120,0;Non;0,0;Non;Oui;Comme il faut
F;42;Celibataire;Exerce profession;Employe de bureau;Non;2;Non;Non;Non;300,0;Non;0,0;Non;Non;Comme il faut
H;70;Marie;Retraite;Cadre;Non;0;Oui;Non;Non;180,0;Non;180,0;Non;Non;Pas assez
H;67;Marie;Au foyer;Non concerne;Non;8;Oui;Non;Non;60,0;Non;0,0;Non;Non;Comme il faut
F;33;Marie;Exerce profession;Employe de bureau;Non;4;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;71;Marie;Retraite;Profession intermediaire;Non;1;Oui;Oui;Oui;0,0;Non;0,0;Non;Non;Comme il faut
H;67;Veuf;Au foyer;Non concerne;Non;2;Oui;Non;Non;300,0;Non;0,0;Non;Non;Comme il faut
F;68;Marie;Retraite;Employe de bureau;Non;2;Non;Non;Non;120,0;Non;60,0;Non;Non;Comme il faut
H;37;Marie;Exerce profession;Ouvrier qualifie;Non;7;Oui;Oui;Non;60,0;Oui;60,0;Non;Non;Pas assez
F;74;Marie;Retraite;Employe de bureau;Non;0;Non;Non;Non;0,0;Non;120,0;Non;Non;Comme il faut
H;39;Celibataire;Exerce profession;Non concerne;Non;1;Non;Oui;Non;51,43;Oui;60,0;Non;Non;Comme il faut
H;21;Celibataire;Etudiant;Non concerne;formation initiale;2;Non;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut
F;60;Marie;Retraite;Ouvrier qualifie;Non;5;Oui;Oui;Oui;0,0;Non;0,0;Non;Non;Pas assez
H;32;Marie;Exerce profession;Profession intermediaire;Non;2;Oui;Non;Non;60,0;Non;0,0;Non;Non;Comme il faut
H;63;Marie;Retraite;Profession intermediaire;Non;4;Non;Oui;Oui;0,0;Non;0,0;Non;Non;Pas assez
H;46;Divorce;Exerce profession;Technicien;Non;2;Oui;Oui;Oui;60,0;Non;0,0;Non;Non;Comme il faut
F;33;Celibataire;Exerce profession;Profession intermediaire;Non;2;Non;Oui;Oui;42,86;Non;0,0;Non;Oui;Comme il faut
H;81;Marie;Retraite;Profession intermediaire;Non;0;Oui;Non;Non;180,0;Non;180,0;Non;Non;Comme il faut
F;75;Marie;Au foyer;Technicien;Non;3;Non;Oui;Non;240,0;Non;0,0;Non;Non;Comme il faut
F;48;Veuf;Chomeur;Employe de bureau;Non;6;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;26;Marie;Chomeur;Cadre;Non;2;Non;Oui;Oui;120,0;Non;0,0;Non;Oui;Comme il faut
H;19;Celibataire;Etudiant;Non concerne;formation initiale;1;Non;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut
H;56;Marie;Exerce profession;Non concerne;Non;3;Non;Oui;Non;0,0;Non;0,0;Non;Non;Comme il faut
H;57;Marie;Exerce profession;Cadre;Non;2;Oui;Non;Oui;120,0;Non;0,0;Non;Non;Pas assez
H;44;Divorce;Exerce profession;Ouvrier specialise;Non;3;Non;Oui;Oui;180,0;Non;0,0;Non;Non;Comme il faut
H;50;Marie;Exerce profession;Ouvrier specialise;Non;3;Oui;Non;Non;180,0;Non;0,0;Non;Non;Pas assez
H;31;Marie;Exerce profession;Cadre;Non;1;Oui;Oui;Oui;51,43;Non;0,0;Non;Non;Comme il faut
H;55;Marie;Exerce profession;Cadre;Non;3;Non;Non;Non;0,0;Non;0,0;Non;Non;Pas assez
H;29;Marie;Exerce profession;Employe de bureau;Non;4;Non;Non;Oui;120,0;Non;0,0;Non;Non;Comme il faut
F;75;Marie;Au foyer;Non concerne;Non;2;Oui;Non;Non;60,0;Non;0,0;Non;Non;Comme il faut
F;41;Marie;Exerce profession;Technicien;Non;1;Non;Non;Non;0,0;Non;120,0;Non;Oui;Comme il faut
F;52;Marie;Exerce profession;Profession intermediaire;Non;4;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
H;80;Marie;Au foyer;Non concerne;Non;1;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;78;Veuf;Retraite;Ouvrier qualifie;Non;7;Non;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut
H;63;Marie;Au foyer;Non concerne;Non;4;Oui;Non;Oui;120,0;Non;0,0;Non;Non;Pas assez
H;51;Marie;Exerce profession;Technicien;Non;6;Oui;Non;Oui;60,0;Non;0,0;Non;Oui;Comme il faut
F;53;Marie;Autre inactif;Ouvrier specialise;Non;8;Non;Oui;Non;300,0;Non;0,0;Non;Non;Comme il faut
F;35;Marie;Exerce profession;Employe de bureau;Non;7;Oui;Non;Non;0,0;Non;6,0;Non;Non;Comme il faut
H;39;Marie;Autre inactif;Non concerne;Non;3;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;36;Marie;Autre inactif;Non concerne;Non;3;Oui;Oui;Non;240,0;Non;0,0;Non;Non;Comme il faut
F;52;Marie;Autre inactif;Non concerne;Non;2;Non;Non;Oui;180,0;Non;0,0;Non;Oui;Comme il faut
F;28;Marie;Autre inactif;Non concerne;Non;2;Oui;Non;Oui;180,0;Non;0,0;Oui;Non;Pas assez
H;60;Marie;Retraite;Technicien;Non;0;Non;Non;Non;180,0;Non;120,0;Non;Non;Comme il faut
H;56;Veuf;Exerce profession;Employe de bureau;Non;1;Non;Non;Oui;42,86;Non;0,0;Non;Non;Comme il faut
F;35;Marie;Chomeur;Cadre;Non;1;Non;Oui;Oui;60,0;Non;0,0;Non;Non;Pas assez
F;64;Veuf;Retraite;Employe de bureau;Non;4;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Pas assez
H;25;Celibataire;Exerce profession;Autre;Non;12;Oui;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut
F;20;Celibataire;Etudiant;Non concerne;formation initiale;1;Non;Oui;Non;60,0;Non;0,0;Oui;Oui;Comme il faut
F;93;Veuf;Au foyer;Non concerne;Non;6;Non;Non;Non;0,0;Non;0,0;Non;Non;Pas assez
H;72;Marie;Retraite;Ouvrier qualifie;Non;3;Oui;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;78;Veuf;Retraite;Employe de bureau;Non;1;Oui;Non;Non;180,0;Non;0,0;Non;Non;Pas assez
F;74;Veuf;Retraite;Employe de bureau;Non;1;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Pas assez
H;19;Celibataire;Etudiant;Non concerne;formation initiale;2;Non;Oui;Oui;180,0;Non;0,0;Non;Non;Comme il faut
H;72;Marie;Retraite;Ouvrier qualifie;Non;1;Oui;Non;Non;240,0;Non;0,0;Non;Non;Comme il faut
H;58;Marie;Exerce profession;Non concerne;Non;4;Non;Non;Oui;120,0;Non;0,0;Non;Oui;Comme il faut
H;33;Celibataire;Chomeur;Cadre;Non;1;Non;Non;Non;34,29;Non;0,0;Non;Non;Comme il faut
H;40;Marie;Exerce profession;Employe de bureau;Reprise de formation;12;Oui;Non;Non;120,0;Non;0,0;Non;Non;Pas assez
F;27;Marie;Exerce profession;Employe de bureau;Non;4;Non;Oui;Non;120,0;Non;0,0;Non;Oui;Pas assez
F;47;Divorce;Exerce profession;Non concerne;Non;2;Non;Non;Non;0,0;Non;0,0;Non;Oui;Comme il faut
F;50;Marie;Autre inactif;Ouvrier specialise;Non;10;Non;Non;Non;240,0;Non;0,0;Non;Non;Comme il faut
F;68;Marie;Retraite;Non concerne;Non;9;Oui;Oui;Non;60,0;Non;0,0;Non;Oui;Comme il faut
H;20;Celibataire;Etudiant;Non concerne;formation initiale;2;Non;Non;Oui;8,57;Non;0,0;Non;Oui;Comme il faut
H;45;Celibataire;Chomeur;Cadre;Non;3;Non;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut
F;69;Divorce;Retraite;Profession intermediaire;Non;6;Non;Non;Oui;0,0;Non;0,0;Non;Oui;Pas assez
F;79;Marie;Retraite;Employe de bureau;Non;5;Non;Oui;Non;120,0;Non;60,0;Non;Non;Comme il faut
F;70;Marie;Retraite;Non concerne;Non;0;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
H;22;Celibataire;Exerce profession;Technicien;Non;1;Non;Non;Oui;180,0;Non;0,0;Oui;Oui;Comme il faut
H;39;Marie;Exerce profession;Technicien;Non;3;Oui;Non;Oui;120,0;Non;0,0;Non;Non;Comme il faut
F;50;Veuf;Exerce profession;Employe de bureau;Non;5;Non;Non;Non;360,0;Non;60,0;Non;Non;Comme il faut
H;19;Celibataire;Etudiant;Non concerne;formation initiale;1;Non;Non;Non;0,0;Non;0,0;Non;Non;Comme il faut
H;68;Divorce;Retraite;Cadre;Non;0;Non;Non;Oui;180,0;Non;0,0;Non;Non;Comme il faut
F;41;Marie;Exerce profession;Employe de bureau;Non;2;Non;Oui;Non;25,71;Non;0,0;Non;Oui;Comme il faut
H;54;Marie;Exerce profession;Autre;Non;7;Oui;Oui;Oui;120,0;Non;0,0;Non;Non;Comme il faut
H;57;Marie;Retraite;Ouvrier qualifie;Non;4;Oui;Oui;Oui;300,0;Non;0,0;Non;Non;Pas assez
F;71;Veuf;Au foyer;Non concerne;Non;1;Oui;Non;Non;0,0;Non;17,14;Non;Non;Comme il faut
H;21;Celibataire;Exerce profession;Ouvrier specialise;Non;2;Non;Non;Non;120,0;Non;0,0;Non;Non;Comme il faut
F;39;Marie;Exerce profession;Employe de bureau;Non;4;Oui;Non;Non;60,0;Non;0,0;Non;Non;Comme il faut
H;42;Marie;Chomeur;Cadre;Non;4;Non;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut
H;61;Marie;Retraite;Technicien;Non;1;Non;Non;Oui;180,0;Non;0,0;Non;Non;Comme il faut
H;65;Marie;Retraite;Cadre;Non;2;Non;Non;Oui;360,0;Non;120,0;Non;Non;Pas assez
F;33;Marie;Exerce profession;Profession intermediaire;Non;1;Non;Oui;Oui;180,0;Non;0,0;Non;Non;Pas assez
F;46;Divorce;Exerce profession;Employe de bureau;Non;1;Non;Non;Oui;0,0;Non;0,0;Non;Non;Comme il faut
H;69;Marie;Retraite;Ouvrier qualifie;Non;4;Oui;Oui;Non;180,0;Non;0,0;Non;Non;Comme il faut
F;79;Marie;Retraite;Non concerne;Non;10;Non;Oui;Non;240,0;Non;0,0;Non;Oui;Pas assez
H;49;Marie;Autre inactif;Ouvrier qualifie;Non;1;Non;Non;Non;240,0;Non;0,0;Non;Non;Pas assez
H;42;Marie;Exerce profession;Employe de bureau;Non;3;Oui;Non;Non;180,0;Non;0,0;Non;Non;Comme il faut
H;23;Celibataire;Exerce profession;Employe de bureau;Non;0;Non;Oui;Oui;8,0;Non;0,0;Non;Non;Comme il faut
H;29;Celibataire;Exerce profession;Technicien;Non;1;Non;Oui;Oui;120,0;Non;0,0;Non;Non;Pas assez
F;58;Divorce;Exerce profession;Employe de bureau;Non;2;Non;Non;Non;120,0;Non;0,0;Non;Non;Pas assez
F;77;Veuf;Au foyer;Non concerne;Non;5;Oui;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
H;44;Celibataire;Exerce profession;Non concerne;Non;2;Oui;Non;Non;120,0;Non;0,0;Non;Non;Pas assez
H;47;Marie;Exerce profession;Profession intermediaire;Non;1;Oui;Non;Oui;120,0;Non;0,0;Non;Non;Comme il faut
F;54;Veuf;Exerce profession;Employe de bureau;Non;0;Oui;Oui;Non;240,0;Oui;60,0;Non;Oui;Pas assez
F;29;Divorce;Exerce profession;Employe de bureau;Non;1;Non;Non;Oui;60,0;Non;0,0;Non;Oui;Comme il faut
F;37;Divorce;Exerce profession;Employe de bureau;Non;2;Non;Non;Oui;0,0;Non;0,0;Non;Non;Comme il faut
F;42;Celibataire;Autre inactif;Employe de bureau;Non;4;Non;Oui;Non;120,0;Non;0,0;Non;Non;Comme il faut
H;47;Marie;Exerce profession;Cadre;Non;0;Oui;Non;Oui;300,0;Non;0,0;Non;Non;Comme il faut
